,typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
0,C,A,20240101,2024,52,2024,36,,,X,,156,,,0,,,H6,HS,True,282520,,,,C00,,0,0,,8,,1316630.0,False,8,,1316630.0,False,1316630.0,False,1339.1,False,,23683630.568,23683630.568,0,False,True
1,C,A,20240101,2024,52,2024,36,,,X,,410,,,0,,,H6,HS,True,282520,,,,C00,,0,0,,8,,936554.0,False,8,,936554.0,False,936554.0,False,936.842,False,,12504296.344,12504296.344,0,False,True
2,C,A,20240101,2024,52,2024,40,,,X,,51,,,0,,,H6,HS,True,282520,,,,C00,,0,0,,8,,45.0,False,8,,45.0,False,45.0,False,0.0,False,,285.748,285.748,0,True,False
3,C,A,20240101,2024,52,2024,40,,,X,,152,,,0,,,H6,HS,True,282520,,,,C00,,0,0,,8,,2.855,True,-1,,0.0,False,2.855,True,0.0,False,,99.579,99.579,6,True,False
4,C,A,20240101,2024,52,2024,40,,,X,,276,,,0,,,H6,HS,True,282520,,,,C00,,0,0,,8,,15.081,True,-1,,0.0,False,15.081,True,0.0,False,,526.037,526.037,6,True,False
5,C,A,20240101,2024,52,2024,40,,,X,,320,,,0,,,H6,HS,True,282520,,,,C00,,0,0,,8,,11.0,False,8,,11.0,False,11.0,False,0.0,False,,18.4,18.4,0,True,False
6,C,A,20240101,2024,52,2024,40,,,X,,642,,,0,,,H6,HS,True,282520,,,,C00,,0,0,,8,,3.0,False,8,,3.0,False,3.0,False,0.0,False,,1778.351,1778.351,0,True,False
7,C,A,20240101,2024,52,2024,40,,,X,,807,,,0,,,H6,HS,True,282520,,,,C00,,0,0,,8,,3.0,False,8,,3.0,False,3.0,False,0.0,False,,80.096,80.096,0,True,False
8,C,A,20240101,2024,52,2024,56,,,X,,12,,,0,,,H6,HS,True,282520,,,,C00,,0,0,,8,,6000.0,False,8,,6000.0,False,6000.0,False,0.0,False,,105085.072,105085.072,0,True,False
9,C,A,20240101,2024,52,2024,56,,,X,,36,,,0,,,H6,HS,True,282520,,,,C00,,0,0,,8,,8.1,False,8,,8.1,False,8.1,False,0.0,False,,3005.435,3005.435,0,True,False
