,typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
0,C,A,20200101,2020,52,2020,32,,,X,,156,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,14134400.0,False,8,,14134400.0,False,14134400.0,False,0.0,False,0.0,56078225.83,56078225.83,0,True,False
1,C,A,20200101,2020,52,2020,36,,,X,,360,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,1600.0,False,8,,1600.0,False,1600.0,False,1650.0,False,,24030.938,24030.938,0,False,True
2,C,A,20200101,2020,52,2020,36,,,X,,554,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,1762.9,False,8,,1762.9,False,1762.9,False,1792.9,False,,14303.36,14303.36,0,False,True
3,C,A,20200101,2020,52,2020,36,,,X,,699,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,5500.0,False,8,,5500.0,False,5500.0,False,5500.0,False,,5239.197,5239.197,0,False,True
4,C,A,20200101,2020,52,2020,36,,,X,,702,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,1000.0,False,8,,1000.0,False,1000.0,False,1000.0,False,,7954.11,7954.11,0,False,True
5,C,A,20200101,2020,52,2020,40,,,X,,156,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,2000.0,False,8,,2000.0,False,2000.0,False,0.0,False,0.0,42964.995,42964.995,0,True,False
6,C,A,20200101,2020,52,2020,40,,,X,,203,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,7134.0,False,8,,7134.0,False,7134.0,False,0.0,False,0.0,51712.257,51712.257,0,True,False
7,C,A,20200101,2020,52,2020,40,,,X,,268,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,18.608,True,-1,,0.0,False,18.608,True,0.0,False,0.0,207.969,207.969,6,True,False
8,C,A,20200101,2020,52,2020,40,,,X,,276,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,50.0,False,8,,50.0,False,50.0,False,0.0,False,0.0,1314.089,1314.089,0,True,False
9,C,A,20200101,2020,52,2020,40,,,X,,300,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,9.0,False,8,,9.0,False,9.0,False,0.0,False,0.0,54.849,54.849,0,True,False
10,C,A,20200101,2020,52,2020,40,,,X,,348,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,3006.0,False,8,,3006.0,False,3006.0,False,0.0,False,0.0,47729.996,47729.996,0,True,False
11,C,A,20200101,2020,52,2020,40,,,X,,360,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,200.0,False,8,,200.0,False,200.0,False,0.0,False,0.0,2913.849,2913.849,0,True,False
12,C,A,20200101,2020,52,2020,40,,,X,,616,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,5024.0,False,8,,5024.0,False,5024.0,False,0.0,False,0.0,37579.516,37579.516,0,True,False
13,C,A,20200101,2020,52,2020,40,,,X,,642,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,32.0,False,8,,32.0,False,32.0,False,0.0,False,0.0,363.374,363.374,0,True,False
14,C,A,20200101,2020,52,2020,40,,,X,,705,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,2000.0,False,8,,2000.0,False,2000.0,False,0.0,False,0.0,22914.283,22914.283,0,True,False
15,C,A,20200101,2020,52,2020,40,,,X,,757,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,0.102,True,-1,,0.0,False,0.102,True,0.0,False,0.0,1.143,1.143,6,True,False
16,C,A,20200101,2020,52,2020,40,,,X,,780,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,300.0,False,8,,300.0,False,300.0,False,0.0,False,0.0,2780.155,2780.155,0,True,False
17,C,A,20200101,2020,52,2020,40,,,X,,788,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,0.102,True,-1,,0.0,False,0.102,True,0.0,False,0.0,1.143,1.143,6,True,False
18,C,A,20200101,2020,52,2020,40,,,X,,792,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,2200.0,False,8,,2200.0,False,2200.0,False,0.0,False,0.0,35050.752,35050.752,0,True,False
19,C,A,20200101,2020,52,2020,56,,,X,,36,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,0.1,False,8,,0.1,False,0.1,False,0.0,False,,29.549,29.549,0,True,False
20,C,A,20200101,2020,52,2020,56,,,X,,40,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,359.99,False,8,,359.99,False,359.99,False,0.0,False,,1424.33,1424.33,0,True,False
21,C,A,20200101,2020,52,2020,56,,,X,,100,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,11132.4,False,8,,11132.4,False,11132.4,False,0.0,False,,4450.395,4450.395,0,True,False
22,C,A,20200101,2020,52,2020,56,,,X,,124,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,1.0,False,8,,1.0,False,1.0,False,0.0,False,,88.966,88.966,0,True,False
23,C,A,20200101,2020,52,2020,56,,,X,,156,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,1.11,False,8,,1.11,False,1.11,False,0.0,False,,526.689,526.689,0,True,False
24,C,A,20200101,2020,52,2020,56,,,X,,192,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,2.0,False,8,,2.0,False,2.0,False,0.0,False,,223.631,223.631,0,True,False
25,C,A,20200101,2020,52,2020,56,,,X,,203,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,1047.73,False,8,,1047.73,False,1047.73,False,0.0,False,,9546.851,9546.851,0,True,False
26,C,A,20200101,2020,52,2020,56,,,X,,208,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,2.05,False,8,,2.05,False,2.05,False,0.0,False,,37.544,37.544,0,True,False
27,C,A,20200101,2020,52,2020,56,,,X,,246,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,178.99,False,8,,178.99,False,178.99,False,0.0,False,,1404.616,1404.616,0,True,False
28,C,A,20200101,2020,52,2020,56,,,X,,251,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,20942.3,False,8,,20942.3,False,20942.3,False,0.0,False,,180069.324,180069.324,0,True,False
29,C,A,20200101,2020,52,2020,56,,,X,,276,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,623337.0,False,8,,623337.0,False,623337.0,False,0.0,False,,3623125.392,3623125.392,0,True,False
30,C,A,20200101,2020,52,2020,56,,,X,,300,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,124.91,False,8,,124.91,False,124.91,False,0.0,False,,501.07,501.07,0,True,False
31,C,A,20200101,2020,52,2020,56,,,X,,348,,,0,,,H5,HS,True,283691,,,,C00,,0,0,,8,,8853.04,False,8,,8853.04,False,8853.04,False,0.0,False,,98220.552,98220.552,0,True,False
