,year,product,source,target,value
0,2022,Tungsten,Australia,Fiji,934.337
1,2022,Tungsten,Australia,Ireland,1872.142
2,2022,Tungsten,Australia,Italy,33294.849
3,2022,Tungsten,Australia,Japan,320514.248
4,2022,Tungsten,Australia,Malaysia,196114.982
5,2022,Tungsten,Australia,New Zealand,44753.826
6,2022,Tungsten,Australia,Papua New Guinea,24903.853
7,2022,Tungsten,Australia,Senegal,3329.485
8,2022,Tungsten,Australia,India,96917.143
9,2022,Tungsten,Australia,Singapore,57294.885
10,2022,Tungsten,Australia,South Africa,15939.215
11,2022,Tungsten,Australia,USA,386362.441
12,2022,Tungsten,Austria,Germany,524273.95
13,2022,Tungsten,Austria,Poland,278.005
14,2022,Tungsten,Austria,Switzerland,123.207
15,2022,Tungsten,Austria,Thailand,2564.173
16,2022,Tungsten,Bahrain,China,427425.318
17,2022,Tungsten,Bahrain,Germany,245.585
18,2022,Tungsten,Bahrain,Saudi Arabia,260.053
19,2022,Tungsten,Bahrain,India,2072372.175
20,2022,Tungsten,Armenia,Belarus,285.58
21,2022,Tungsten,Armenia,Russian Federation,5938.84
22,2022,Tungsten,Belgium,Algeria,2150.852
23,2022,Tungsten,Belgium,Australia,24.473
24,2022,Tungsten,Belgium,Austria,51.957
25,2022,Tungsten,Belgium,Brazil,54.759
26,2022,Tungsten,Belgium,Bulgaria,885.898
27,2022,Tungsten,Belgium,Canada,2206.569
28,2022,Tungsten,Belgium,China,77306.848
29,2022,Tungsten,Belgium,Czechia,101939.404
30,2022,Tungsten,Belgium,Denmark,179.766
31,2022,Tungsten,Belgium,Ecuador,2370.549
32,2022,Tungsten,Belgium,Estonia,196.036
33,2022,Tungsten,Belgium,Finland,1180.383
34,2022,Tungsten,Belgium,France,927747.985
35,2022,Tungsten,Belgium,Germany,1525117.979
36,2022,Tungsten,Belgium,Greece,401.559
37,2022,Tungsten,Belgium,Hungary,1313.373
38,2022,Tungsten,Belgium,Ireland,91.373
39,2022,Tungsten,Belgium,Italy,1490840.287
40,2022,Tungsten,Belgium,Japan,4701.283
41,2022,Tungsten,Belgium,Luxembourg,17.207
42,2022,Tungsten,Belgium,Morocco,26173.703
43,2022,Tungsten,Belgium,Netherlands,1050596.28
44,2022,Tungsten,Belgium,New Zealand,5.423
45,2022,Tungsten,Belgium,Norway,6.266
46,2022,Tungsten,Belgium,Philippines,47.84
47,2022,Tungsten,Belgium,Poland,54727.917
48,2022,Tungsten,Belgium,Portugal,43979.46
49,2022,Tungsten,Belgium,Russian Federation,1449.195
50,2022,Tungsten,Belgium,Saudi Arabia,549.175
51,2022,Tungsten,Belgium,India,119876.708
52,2022,Tungsten,Belgium,Singapore,120.648
53,2022,Tungsten,Belgium,Slovakia,104.926
54,2022,Tungsten,Belgium,Spain,696616.742
55,2022,Tungsten,Belgium,Sweden,61946.133
56,2022,Tungsten,Belgium,Switzerland,17955.037
57,2022,Tungsten,Belgium,Thailand,7777.122
58,2022,Tungsten,Belgium,Türkiye,3150.806
59,2022,Tungsten,Belgium,United Kingdom,607.24
60,2022,Tungsten,Belgium,USA,534457.52
61,2022,Tungsten,Bolivia (Plurinational State of),Argentina,3501.64
62,2022,Tungsten,Bosnia Herzegovina,Germany,115125.85
63,2022,Tungsten,Botswana,South Africa,279621.139
64,2022,Tungsten,Botswana,Zimbabwe,2489.321
65,2022,Tungsten,Brazil,Angola,3435.0
66,2022,Tungsten,Brazil,Argentina,22.0
67,2022,Tungsten,Brazil,Australia,17633.0
68,2022,Tungsten,Brazil,Austria,2037583.0
69,2022,Tungsten,Brazil,Bolivia (Plurinational State of),7602.0
70,2022,Tungsten,Brazil,Canada,18.0
71,2022,Tungsten,Brazil,Chile,56.0
72,2022,Tungsten,Brazil,China,2172.0
73,2022,Tungsten,Brazil,France,37212.0
74,2022,Tungsten,Brazil,Germany,1466198.0
75,2022,Tungsten,Brazil,Guyana,1334.0
76,2022,Tungsten,Brazil,Indonesia,258.0
77,2022,Tungsten,Brazil,Rep. of Korea,18262.0
78,2022,Tungsten,Brazil,Liberia,36.0
79,2022,Tungsten,Brazil,Malta,59.0
80,2022,Tungsten,Brazil,Mexico,6478.0
81,2022,Tungsten,Brazil,Netherlands,21521.0
82,2022,Tungsten,Brazil,Norway,20.0
83,2022,Tungsten,Brazil,Panama,71.0
84,2022,Tungsten,Brazil,Paraguay,22573.0
85,2022,Tungsten,Brazil,Peru,244.0
86,2022,Tungsten,Brazil,Singapore,261308.0
87,2022,Tungsten,Brazil,Viet Nam,515.0
88,2022,Tungsten,Brazil,Spain,2092.0
89,2022,Tungsten,Brazil,Sweden,1481.0
90,2022,Tungsten,Brazil,United Arab Emirates,1834.0
91,2022,Tungsten,Brazil,Egypt,1652.0
92,2022,Tungsten,Brazil,USA,1840717.0
93,2022,Tungsten,Brazil,Uruguay,18588.0
94,2022,Tungsten,Brunei Darussalam,Australia,12543.761
95,2022,Tungsten,Brunei Darussalam,Brazil,330.438
96,2022,Tungsten,Brunei Darussalam,Malaysia,1928545.282
97,2022,Tungsten,Brunei Darussalam,United Kingdom,916.077
98,2022,Tungsten,Bulgaria,Austria,263747.652
99,2022,Tungsten,Bulgaria,Germany,49169.911
100,2022,Tungsten,Bulgaria,Romania,76.876
101,2022,Tungsten,Bulgaria,Serbia,37241.787
102,2022,Tungsten,Bulgaria,Spain,34368.35
103,2022,Tungsten,Bulgaria,Switzerland,93.004
104,2022,Tungsten,Bulgaria,United Arab Emirates,326.857
105,2022,Tungsten,Bulgaria,Türkiye,32597.517
106,2022,Tungsten,Bulgaria,USA,22.579
107,2022,Tungsten,Bosnia Herzegovina,Germany,115125.85
108,2022,Tungsten,Botswana,South Africa,279621.139
109,2022,Tungsten,Botswana,Zimbabwe,2489.321
110,2022,Tungsten,Bulgaria,Serbia,37241.787
111,2022,Tungsten,Bulgaria,United Arab Emirates,326.857
112,2022,Tungsten,Bulgaria,Türkiye,32597.517
113,2022,Tungsten,Bulgaria,USA,22.579
114,2022,Tungsten,Bulgaria,Switzerland,93.004
115,2022,Tungsten,Bulgaria,Austria,263747.652
116,2022,Tungsten,Bulgaria,Germany,49169.911
117,2022,Tungsten,Bulgaria,Romania,76.876
118,2022,Tungsten,Bulgaria,Spain,34368.35
119,2022,Tungsten,Canada,Australia,1244384.812
120,2022,Tungsten,Canada,Austria,1149.395
121,2022,Tungsten,Canada,Belgium,265.836
122,2022,Tungsten,Canada,Brazil,2562.32
123,2022,Tungsten,Canada,China,169119.274
124,2022,Tungsten,Canada,Costa Rica,16852.921
125,2022,Tungsten,Canada,Czechia,4878.012
126,2022,Tungsten,Canada,Finland,1022755.262
127,2022,Tungsten,Canada,France,117424.178
128,2022,Tungsten,Canada,Germany,3790528.893
129,2022,Tungsten,Canada,Honduras,322206.953
130,2022,Tungsten,Canada,Israel,10896.199
131,2022,Tungsten,Canada,Italy,61742.311
132,2022,Tungsten,Canada,Japan,17270.883
133,2022,Tungsten,Canada,Kazakhstan,20517.0
134,2022,Tungsten,Canada,Rep. of Korea,31862.662
135,2022,Tungsten,Canada,Kuwait,640.004
136,2022,Tungsten,Canada,Malaysia,619380.0
137,2022,Tungsten,Canada,Mexico,446.389
138,2022,Tungsten,Canada,New Zealand,444.853
139,2022,Tungsten,Canada,Peru,2006.062
140,2022,Tungsten,Canada,Romania,361.107
141,2022,Tungsten,Canada,Saudi Arabia,262633.587
142,2022,Tungsten,Canada,Senegal,5017.077
143,2022,Tungsten,Canada,India,13415.494
144,2022,Tungsten,Canada,Singapore,81281.25
145,2022,Tungsten,Canada,Viet Nam,1041.831
146,2022,Tungsten,Canada,Switzerland,42.257
147,2022,Tungsten,Canada,United Arab Emirates,2512.38
148,2022,Tungsten,Canada,United Kingdom,24273.277
149,2022,Tungsten,Canada,USA,30260667.167
150,2022,Tungsten,Cayman Isds,Jamaica,39.468
151,2022,Tungsten,Sri Lanka,Maldives,101.574
152,2022,Tungsten,Chile,Austria,48924.0
153,2022,Tungsten,Chile,Bolivia (Plurinational State of),127456.702
154,2022,Tungsten,Chile,Canada,239762.61
155,2022,Tungsten,Chile,Colombia,13677.87
156,2022,Tungsten,Chile,Malaysia,13053.0
157,2022,Tungsten,Chile,Paraguay,93777.304
158,2022,Tungsten,Chile,Peru,1355.1
159,2022,Tungsten,Chile,Spain,86348.03
160,2022,Tungsten,Chile,USA,242796.0
161,2022,Tungsten,China,Albania,220.0
162,2022,Tungsten,China,Algeria,10105.0
163,2022,Tungsten,China,Argentina,55155.0
164,2022,Tungsten,China,Australia,143489.0
165,2022,Tungsten,China,Austria,62581.0
166,2022,Tungsten,China,Bahrain,126.0
167,2022,Tungsten,China,Bangladesh,39231.0
168,2022,Tungsten,China,Armenia,3955.0
169,2022,Tungsten,China,Belgium,166173.0
170,2022,Tungsten,China,Bolivia (Plurinational State of),4510.0
171,2022,Tungsten,China,Bosnia Herzegovina,1285.0
172,2022,Tungsten,China,Brazil,1068568.0
173,2022,Tungsten,China,Bulgaria,15450.0
174,2022,Tungsten,China,Myanmar,5712.0
175,2022,Tungsten,China,Burundi,28.0
176,2022,Tungsten,China,Belarus,96975.0
177,2022,Tungsten,China,Cambodia,6469.0
178,2022,Tungsten,China,Canada,5706634.0
179,2022,Tungsten,China,Sri Lanka,54265.0
180,2022,Tungsten,China,Chad,672.0
181,2022,Tungsten,China,Chile,48328.0
182,2022,Tungsten,China,Colombia,19063.0
183,2022,Tungsten,China,Dem. Rep. of the Congo,1044.0
184,2022,Tungsten,China,Costa Rica,150818.0
185,2022,Tungsten,China,Croatia,2768.0
186,2022,Tungsten,China,Czechia,850172.0
187,2022,Tungsten,China,Denmark,189832.0
188,2022,Tungsten,China,Dominican Rep.,6514.0
189,2022,Tungsten,China,Ecuador,12056.0
190,2022,Tungsten,China,Ethiopia,65.0
191,2022,Tungsten,China,Estonia,121062.0
192,2022,Tungsten,China,Finland,38355.0
193,2022,Tungsten,China,France,2510352.0
194,2022,Tungsten,China,Germany,10649855.0
195,2022,Tungsten,China,Ghana,9275.0
196,2022,Tungsten,China,Greece,41193.0
197,2022,Tungsten,China,Guatemala,9097.0
198,2022,Tungsten,China,Honduras,1635882.0
199,2022,Tungsten,China,"China, Hong Kong SAR",4262122.0
200,2022,Tungsten,China,Hungary,215299.0
201,2022,Tungsten,China,Indonesia,317163.0
202,2022,Tungsten,China,Iran,57552.0
203,2022,Tungsten,China,Iraq,255.0
204,2022,Tungsten,China,Israel,8690226.0
205,2022,Tungsten,China,Italy,3537414.0
206,2022,Tungsten,China,Japan,86777092.0
207,2022,Tungsten,China,Kazakhstan,10426.0
208,2022,Tungsten,China,Jordan,3132.0
209,2022,Tungsten,China,Kenya,362528.0
210,2022,Tungsten,China,Rep. of Korea,44178295.0
211,2022,Tungsten,China,Kuwait,290.0
212,2022,Tungsten,China,Kyrgyzstan,366288.0
213,2022,Tungsten,China,Lebanon,1040.0
214,2022,Tungsten,China,Lithuania,19869.0
215,2022,Tungsten,China,Luxembourg,41316.0
216,2022,Tungsten,China,Malaysia,153024.0
217,2022,Tungsten,China,Maldives,50.0
218,2022,Tungsten,China,Malta,18778.0
219,2022,Tungsten,China,Mexico,1427873.0
220,2022,Tungsten,China,Mongolia,208.0
221,2022,Tungsten,China,Rep. of Moldova,1791.0
222,2022,Tungsten,China,Morocco,270448.0
223,2022,Tungsten,China,Mozambique,147.0
224,2022,Tungsten,China,Oman,3150.0
225,2022,Tungsten,China,Netherlands,9031516.0
226,2022,Tungsten,China,New Zealand,8207.0
227,2022,Tungsten,China,Nicaragua,30.0
228,2022,Tungsten,China,Niger,1808.0
229,2022,Tungsten,China,Nigeria,1478.0
230,2022,Tungsten,China,Norway,35876.0
231,2022,Tungsten,China,Pakistan,334196.0
232,2022,Tungsten,China,Panama,16026.0
233,2022,Tungsten,China,Paraguay,5414.0
234,2022,Tungsten,China,Peru,3985.0
235,2022,Tungsten,China,Philippines,1095490.0
236,2022,Tungsten,China,Poland,3683505.0
237,2022,Tungsten,China,Portugal,4784.0
238,2022,Tungsten,China,Guinea-Bissau,3913.0
239,2022,Tungsten,China,Timor-Leste,271.0
240,2022,Tungsten,China,Qatar,8097.0
241,2022,Tungsten,China,Romania,627789.0
242,2022,Tungsten,China,Russian Federation,4995366.0
243,2022,Tungsten,China,Rwanda,8.0
244,2022,Tungsten,China,Saudi Arabia,29434.0
245,2022,Tungsten,China,Senegal,1134.0
246,2022,Tungsten,China,Serbia,16291.0
247,2022,Tungsten,China,India,5361233.0
248,2022,Tungsten,China,Singapore,2655278.0
249,2022,Tungsten,China,Slovakia,509968.0
250,2022,Tungsten,China,Viet Nam,4535346.0
251,2022,Tungsten,China,Slovenia,87132.0
252,2022,Tungsten,China,South Africa,111065.0
253,2022,Tungsten,China,Zimbabwe,55.0
254,2022,Tungsten,China,Spain,122357.0
255,2022,Tungsten,China,South Sudan,26.0
256,2022,Tungsten,China,Sweden,1483590.0
257,2022,Tungsten,China,Switzerland,1323591.0
258,2022,Tungsten,China,Thailand,943807.0
259,2022,Tungsten,China,Trinidad and Tobago,1300.0
260,2022,Tungsten,China,United Arab Emirates,579656.0
261,2022,Tungsten,China,Tunisia,205.0
262,2022,Tungsten,China,Türkiye,4888299.0
263,2022,Tungsten,China,Ukraine,49389.0
264,2022,Tungsten,China,North Macedonia,249.0
265,2022,Tungsten,China,Egypt,27805.0
266,2022,Tungsten,China,United Kingdom,8843108.0
267,2022,Tungsten,China,United Rep. of Tanzania,5815.0
268,2022,Tungsten,China,USA,61183136.0
269,2022,Tungsten,China,Uruguay,60.0
270,2022,Tungsten,China,Uzbekistan,24851.0
271,2022,Tungsten,Colombia,Dominican Rep.,60.0
272,2022,Tungsten,Colombia,Ecuador,5177.88
273,2022,Tungsten,Colombia,Mexico,1233.87
274,2022,Tungsten,Colombia,Peru,20035.75
275,2022,Tungsten,Colombia,USA,14457.77
276,2022,Tungsten,Costa Rica,Belgium,562.8
277,2022,Tungsten,Costa Rica,Canada,13.13
278,2022,Tungsten,Costa Rica,China,680.0
279,2022,Tungsten,Costa Rica,USA,108735.97
280,2022,Tungsten,Croatia,Bosnia Herzegovina,17987.0
281,2022,Tungsten,Croatia,Finland,33.0
282,2022,Tungsten,Croatia,Germany,208581.0
283,2022,Tungsten,Croatia,Hungary,8.0
284,2022,Tungsten,Croatia,Côte d'Ivoire,1648.0
285,2022,Tungsten,Croatia,Serbia,2781.0
286,2022,Tungsten,Croatia,Slovenia,71.0
287,2022,Tungsten,Croatia,North Macedonia,1453.0
288,2022,Tungsten,Croatia,United Kingdom,374.0
289,2022,Tungsten,Croatia,Burkina Faso,195.0
290,2022,Tungsten,Czechia,Albania,5273.0
291,2022,Tungsten,Czechia,Angola,96.0
292,2022,Tungsten,Czechia,Argentina,9415.0
293,2022,Tungsten,Czechia,Australia,494.0
294,2022,Tungsten,Czechia,Austria,14447870.0
295,2022,Tungsten,Czechia,Bahrain,522.0
296,2022,Tungsten,Czechia,Belgium,124342.0
297,2022,Tungsten,Czechia,Bolivia (Plurinational State of),230.0
298,2022,Tungsten,Czechia,Bosnia Herzegovina,3638.0
299,2022,Tungsten,Czechia,Brazil,9638.0
300,2022,Tungsten,Czechia,Bulgaria,44959.0
301,2022,Tungsten,Czechia,Chile,5149.0
302,2022,Tungsten,Czechia,China,51736.0
303,2022,Tungsten,Czechia,Colombia,1401.0
304,2022,Tungsten,Czechia,Croatia,24464.0
305,2022,Tungsten,Czechia,Cyprus,129.0
306,2022,Tungsten,Czechia,Denmark,13690.0
307,2022,Tungsten,Czechia,Estonia,3127.0
308,2022,Tungsten,Czechia,Faroe Isds,1236.0
309,2022,Tungsten,Czechia,Finland,1023962.0
310,2022,Tungsten,Czechia,France,6357139.0
311,2022,Tungsten,Czechia,Georgia,86.0
312,2022,Tungsten,Czechia,Germany,11990970.0
313,2022,Tungsten,Czechia,"China, Hong Kong SAR",690.0
314,2022,Tungsten,Czechia,Hungary,36932.0
315,2022,Tungsten,Czechia,Iceland,2594.0
316,2022,Tungsten,Czechia,Indonesia,11405.0
317,2022,Tungsten,Czechia,Ireland,9029.0
318,2022,Tungsten,Czechia,Italy,910263.0
319,2022,Tungsten,Czechia,Japan,119438.0
320,2022,Tungsten,Czechia,Kazakhstan,167.0
321,2022,Tungsten,Czechia,Latvia,76.0
322,2022,Tungsten,Czechia,Lithuania,751.0
323,2022,Tungsten,Czechia,Luxembourg,490.0
324,2022,Tungsten,Czechia,Malaysia,93605.0
325,2022,Tungsten,Czechia,Mexico,223819.0
326,2022,Tungsten,Czechia,Rep. of Moldova,2165.0
327,2022,Tungsten,Czechia,Morocco,61233.0
328,2022,Tungsten,Czechia,Netherlands,558651.0
329,2022,Tungsten,Czechia,New Zealand,900.0
330,2022,Tungsten,Czechia,Norway,8920.0
331,2022,Tungsten,Czechia,Pakistan,3027.0
332,2022,Tungsten,Czechia,Peru,35691.0
333,2022,Tungsten,Czechia,Poland,7667517.0
334,2022,Tungsten,Czechia,Portugal,14900.0
335,2022,Tungsten,Czechia,Qatar,260.0
336,2022,Tungsten,Czechia,Romania,632927.0
337,2022,Tungsten,Czechia,Russian Federation,631974.0
338,2022,Tungsten,Czechia,Saudi Arabia,103.0
339,2022,Tungsten,Czechia,Senegal,94.0
340,2022,Tungsten,Czechia,Serbia,6370.0
341,2022,Tungsten,Czechia,India,232222.0
342,2022,Tungsten,Czechia,Singapore,11366.0
343,2022,Tungsten,Czechia,Slovakia,716755.0
344,2022,Tungsten,Czechia,Viet Nam,649.0
345,2022,Tungsten,Czechia,Slovenia,86954.0
346,2022,Tungsten,Czechia,South Africa,83668.0
347,2022,Tungsten,Czechia,Spain,166639.0
348,2022,Tungsten,Czechia,Sweden,79267.0
349,2022,Tungsten,Czechia,Switzerland,1682126.0
350,2022,Tungsten,Czechia,Thailand,8137.0
351,2022,Tungsten,Czechia,United Arab Emirates,11587.0
352,2022,Tungsten,Czechia,Türkiye,211482.0
353,2022,Tungsten,Czechia,North Macedonia,1015.0
354,2022,Tungsten,Czechia,United Kingdom,379543.0
355,2022,Tungsten,Czechia,USA,6803292.0
356,2022,Tungsten,Denmark,Angola,206.163
357,2022,Tungsten,Denmark,Belgium,4206.337
358,2022,Tungsten,Denmark,Bhutan,1335.24
359,2022,Tungsten,Denmark,China,1480.651
360,2022,Tungsten,Denmark,Croatia,4189.564
361,2022,Tungsten,Denmark,Cyprus,37.64
362,2022,Tungsten,Denmark,Czechia,15525.899
363,2022,Tungsten,Denmark,Estonia,777.239
364,2022,Tungsten,Denmark,Finland,33104.449
365,2022,Tungsten,Denmark,France,3406.646
366,2022,Tungsten,Denmark,Germany,404972.024
367,2022,Tungsten,Denmark,Greece,2519.127
368,2022,Tungsten,Denmark,Greenland,26513.962
369,2022,Tungsten,Denmark,Hungary,7598.983
370,2022,Tungsten,Denmark,Ireland,51690.174
